name,price,package_size,serving_size,calories_per_serving,calculated_calories,serves_about,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Added Sugars,Protein,Vitamin D,Calcium,Iron,Potassium,Polyunsaturated Fat,Monounsaturated Fat,Vitamin A,Vitamin C,Insoluble Fiber,Soluble Fiber,Thiamin,Riboflavin,Niacin,Vitamin B6,Folate,Folic Acid,Vitamin B12,Zinc,Pantothenic Acid,Phosphorus,Calories from Fat,Trans Fat 0g,† As prepared with unsalted butter and salt.,Added SugarsƗ,Ɨ One  serving adds 16g of sugar to your diet and represents  32% of the Daily Value for Added Sugars
Cauliflower Pizza Crusts,$4.99,5 Oz,71 g,230.0,110.0,2,6 g,3.0 g,0 g,75 mg,260 mg,4 g,1 g,1 g,0 g,10 g,0.3 mcg,240 mg,0.7 mg,210 mg,,,,,,,,,,,,,,,,,,,,,
Saint André Triple Crème Brie,$13.99,1 Lb,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow Tadka Dal,$2.49,10 Oz,140 g,260.0,137.0,2,5 g,2 g,0 g,5 mg,400 mg,17 g,4 g,0 g,0 g,6 g,0 mcg,50 mg,.07 mg,380 mg,,,,,,,,,,,,,,,,,,,,,
Peruvian Bay Scallops,$8.99,16 Oz,113 g,100.0,104.0,4,0 g,0 g,0 g,30 mg,90 mg,9 g,0 g,1 g,0 g,17 g,0 mcg,10 mg,0 mg,370 mg,,,,,,,,,,,,,,,,,,,,,
Popcorn In a Pickle,$2.29,5 Oz,28 g,150.0,149.0,5,9 g,1.0 g,0 g,0 mg,250 mg,15 g,3 g,0 g,0 g,2 g,0.0 mcg,20 mg,0.5 mg,50 mg,,,,,,,,,,,,,,,,,,,,,
Organic Sugar Cones,$2.99,5 Oz,12 g,45.0,48.0,12,0 g,0 g,0 g,0 mg,15 mg,11 g,0 g,4 g,4 g,1g g,0.0 mcg,0 mg,0.2 mg,30 mg,,,,,,,,,,,,,,,,,,,,,
Ube Ice Cream,$3.79,1 Pint,100 g,610.0,203.0,3,11 g,7 g,0 g,55 mg,75 mg,22 g,1g g,18 g,16 g,4 g,1.4 mcg,120 mg,0.2 mg,250 mg,,,,,,,,,,,,,,,,,,,,,
"SOUTHERN PEACH CRISP
ICE CREAM",$2.99,1 Pint,99 g,650.0,223.0,3,11 g,7 g,0 g,35 mg,55 mg,27 g,0 g,24 g,18 g,4 g,0.4 mcg,130 mg,0.1 mg,100 mg,,,,,,,,,,,,,,,,,,,,,
Ube Mochi Pancake & Waffle Mix,$3.99,13.3 Oz,63 g,310.0,220.0,6,0 g,0 g,0 g,0 mg,380 mg,52 g,1g g,13 g,12 g,3 g,0.0 mcg,130 mg,0.4 mg,0 mg,,,,,,,,,,,,,,,,,,,,,
Marshmallows,$2.99,10 Oz,28 g,100.0,96.0,10,0 g,0 g,0 g,0 mg,20 mg,24 g,0 g,17 g,17 g,0 g,0 mcg,0 mg,0 mg,20 mg,,,,,,,,,,,,,,,,,,,,,
Organic Sweet & Spicy Pineapple  BBQ Sauce,$2.99,19.5 Oz,36 g,50.0,44.0,15,0 g,0 g,0 g,0 mg,260 mg,11 g,0 g,10 g,9 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,
Peaches & Cream Tarte,$5.99,16.9 Oz,120 g,300.0,301.0,4,17 g,8 g,0 g,10 mg,270 mg,34 g,1 g,13 g,,3 g,,12.5916 mg,1.2192 mg,35 mg,,,313.6572 IU,42.9396 mg,,,,,,,,,,,,,150 kcal,,,,
Chocolate Chip Hold the Cone,$3.99,7.9 Oz,84 g,740.0,273.0,2.5,13 g,8 g,0 g,25 mg,100 mg,35 g,2 g,22 g,20 g,4 g,0 mcg,210 mg,2.7 mg,160 mg,,,,,,,,,,,,,,,,,,,,,
Branzino Fillets European Sea Bass,$10.99,1 Lb,113 g,110.0,106.5,4,2.5 g,0.5 g,0 g,45 mg,75 mg,0 g,0 g,0 g,0 g,21 g,6.3 mcg,10 mg,0.3 mg,290 mg,,,,,,,,,,,,,,,,,,,,,
Tangerine Cream Bars,$3.49,15 Fl Oz,140 g,740.0,238.0,3,10 g,6 g,0 g,45 mg,40 mg,34 g,0 g,32 g,27 g,3 g,0.8 mcg,100 mg,0.0 mg,160 mg,,,,,,,,,,,,,,,,,,,,,
BBQ Pulled Chicken,$5.99,16 Oz,151 g,200.0,195.5,3,3.5 g,1.0 g,0 g,70 mg,730 mg,23 g,1g g,19 g,17 g,18 g,0 mcg,90 mg,2.3 mg,440 mg,,,,,,,,,,,,,,,,,,,,,
Dark Chocolate Watermelon Sticks,$3.69,10 Oz,30 g,120.0,118.5,9,2.5 g,1.5 g,0 g,0 mg,10 mg,24 g,1 g,18 g,18 g,0 g,0.1 mcg,0 mg,0.6 mg,30 mg,,,,,,,,,,,,,,,,,,,,,
