,name,price,package_size,serving_size,calculated_calories,Total Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin D,Calcium,Iron,Potassium
37,Portuguese Donuts,$3.99,7.76 Oz,55 g,218.0,10 g,10 mg,150 mg,28 g,2 g,11 g,4 g,0.0 mcg,170 mg,3.2 mg,110 mg
38,Sweet Ripe Plantains,$2.49,16 Oz,78 g,134.0,2.0 g,0 mg,0 mg,28 g,2 g,18 g,1 g,0.0 mcg,0 mg,0.0 mg,370 mg
39,Kramer Farms Cage Free Hard-Boiled Eggs,$2.99,9.3 Oz,,0.0,,,,,,,,,,,
40,Sugar Cookie Dough Hearts,$3.99,10.8 Oz,26 g,109.0,5 g,20 mg,60 mg,15 g,0 g,8 g,1 g,0.0 mcg,20 mg,0.6 mg,20 mg
41,Miso Ginger Broth,$2.49,32 Fl Oz,240 mL,8.0,0 g,0 mg,590 mg,1 g,0 g,0 g,1 g,0.0 mcg,10 mg,0.2 mg,60 mg
42,Maître Pierre Tarte d' Alsace,$5.49,8 Oz,76 g,195.0,11g,40mg,400mg,17g,0g,1g,7g,0mcg,97mg,1mg,64mg
43,Chicken Shu Mai,$3.99,11 Oz,104 g,418.0,10 g,115 mg,2270 mg,49 g,3 g,17 g,33 g,0.1 mcg,50 mg,3.1 mg,570 mg
44,Plain Pizza Dough,$1.49,16 Oz,,0.0,,,,,,,,,,,
45,Sugared Rice Cracker Hearts,$1.99,6 Oz,28 g,108.0,0 g,0 mg,80 mg,25 g,0 g,6 g,2 g,0.0 mcg,0 mg,0.2 mg,10 mg
46,Chocolate & Peanut Butter Lover's Nut Mix,$5.49,12 Oz,30 g,167.0,11 g,0 mg,160 mg,13 g,2 g,5 g,4 g,0.1 mcg,30 mg,1.4 mg,130 mg
47,Honey Roasted Macadamia Nuts & Cashews,$4.99,8 Oz,30 g,177.0,13 g,0 mg,60 mg,11 g,3 g,2 g,4 g,0.0 mcg,20 mg,1.3 mg,150 mg
48,Elevated Nut Mix,$5.99,9 Oz,30 g,191.0,15 g,0 mg,40 mg,10 g,5 g,1 g,4 g,0.0 mcg,30 mg,1.2 mg,170 mg
49,Vegetable Dumplings,$3.99,10.58 Oz,75 g,123.0,3.0 g,0 mg,220 mg,22 g,1 g,2 g,2 g,0.1 mcg,20 mg,0.5 mg,80 mg
50,Teriyaki Mushroom Mini Bao Buns,$4.79,9.52 Oz,90 g,196.5,4.5 g,0 mg,380 mg,34 g,1 g,8 g,5 g,0.0 mcg,60 mg,0.8 mg,160 mg
51,Dark Chocolate Covered Caramels,$5.49,10 Oz,24 g,100.5,4.5 g,5 mg,55 mg,13 g,2g,12 g,2g,0.0 mcg,20 mg,0.8 mg,50 mg
52,Sprinkle Cake Bites,$3.99,8.47 Oz,30 g,124.0,4.0 g,0 mg,65 mg,20 g,0 g,13 g,2g,0.0 mcg,0 mg,0.1 mg,10 mg
