name,price,package_size,serving_size,calories_per_serving,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Includes,Protein,Vitamin D,Calcium,Iron,Potassium,Fiber,Polyunsaturated Fat,Monounsaturated Fat,Added Sugars,Sugars,Vitamin A,Vitamin C,Incldues,Toal Sugars,Insoluble Fiber,Soluble Fiber,Incoudes,Thiamin,Riboflavin,Niacin,Vitamin B6,Folate,Folic Acid,Vitamin B12,Includesq,Inculdes,Calckum,Total Carbodydrate,Incudes,Zinc,Pantothenic Acid,Total Carbohydrateq,Phosphorus,Caclium,Calories from Fat,includes,Trans Fat 0g,Total Carbodyrate,Included,Includes Added Sugars,Total Carbohyrate,† As prepared with unsalted butter and salt.,Sodim,Inclues,Added SugarsƗ,Ɨ One  serving adds 16g of sugar to your diet and represents  32% of the Daily Value for Added Sugars
Miso Instant Ramen Soup,$1.89,/1.5 Oz,1 container(43g),180.0,3.0 g,0 g,0 g,0 mg,860 mg,31 g,2 g,3 g,less than 1 g Added Sugars,7 g,0.0 mcg,20 mg,0.8 mg,140 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sliced Shiitake Mushrooms,$3.49,/10 Oz,1 cup frozen(85g),25.0,0 g,0 g,0 g,0 mg,45 mg,4 g,2 g,less than 1g,0 g Added Sugars,2 g,0.0 mcg,0 mg,1.3 mg,210 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Handheld Chicken Pot Pies,$4.49,/9 Oz,1 container(255g),1140.0,45 g,22 g,2.0 g,45 mg,1200 mg,74 g,7 g,9 g,2 g Added Sugars,28 g,0.0 mcg,100 mg,4.1 mg,420 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark Chocolate Bark,$5.49,/8 Oz,1 oz(30g/about 2 pieces),160.0,9 g,5 g,0 g,less than 5 mg,30 mg,18 g,2 g,14 g,13 g Added Sugars,2 g,0.0 mcg,20 mg,2.0 mg,120 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoMacro® Timeless Treasure Salted Caramel + Chocolate Chips,$2.69,/2.3 Oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soft Pretzel Twists,$3.49,/14.3 Oz,1 pretzel + 1/2 tsp salt(67g),190.0,4.0 g,0.5 g,0 g,0 mg,1080 mg,33 g,1 g,0 g,0 g Added Sugars,5 g,0 mcg,10 mg,2 mg,50 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheesy Bagels,$3.49,/12 Oz,1 bagel(85g),210.0,2.5 g,1.5 g,0 g,5 mg,450 mg,40 g,1 g,4 g,3 g Added Sugars,8 g,0.0 mcg,120 mg,2.7 mg,60 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandwich Rolls,$3.49,/12 Oz,1 roll(85g),200.0,2.0 g,0 g,0 g,0 mg,450 mg,38 g,2 g,less than 1g,less than 1 g Added Sugars,8 g,0.0 mcg,50 mg,2.9 mg,70 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70% Peruvian Cacao Dark Chocolate Bar,$2.49,/3.5 Oz,3 squares(30g),180.0,12 g,7 g,0 g,0 mg,0 mg,14 g,3 g,9 g,9 g Added Sugars,3 g,0.4 mcg,20 mg,3.4 mg,200 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangnyeom Sauce,$3.99,/15.5 Oz,2 Tbsp.(36g),60.0,0 g,0 g,0 g,0 mg,570 mg,12 g,less than 1g,10 g,9 g Added Sugars,1 g,0.0 mcg,20 mg,0.6 mg,90 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organic Spaghetti Triangoletti Pasta,$1.99,/1 Lb,2 oz(56g/ 1/8 package) dry,200.0,0.5 g,0 g,0 g,0 mg,0 mg,40 g,2 g,1 g,0 g Added Sugars,7 g,0.0 mcg,10 mg,0.6 mg,140 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shishito Peppers,$2.99,/8 Oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teeny Tiny Tomatoes,$1.79,/3.5 Oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homestyle Angus Beef Meatballs,$7.99,/20.4 Oz,2 Meatballs(96g),280.0,22 g,10 g,1.0 g,50 mg,340 mg,5 g,0 g,0 g,0 g Added Sugars,17 g,0.1 mcg,90 mg,1.4 mg,270 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark Chocolate & Almond Cookie Tiles,$3.99,/5 Oz,8 pieces(28g),150.0,8 g,3.5 g,0 g,10 mg,85 mg,16 g,1 g,12 g,9 g Added Sugars,3 g,0.0 mcg,10 mg,0.9 mg,80 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conversation Hearts Candies,$0.99,/1.31 Oz,8 pieces(14g),60.0,0 g,0 g,0 g,0 mg,0 mg,14 g,0 g,14 g,14 g Added Sugars,0 g,0.0 mcg,0 mg,0.0 mg,0 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart Shaped Macarons,$5.49,/4.23 Oz,2 macarons(30g),130.0,6 g,2.5 g,0 g,0 mg,15 mg,16 g,less than 1 g,14 g,,2 g,0.0 mcg,20 mg,0.3 mg,70 mg,,,,12 g Added Sugars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark Chocolate Covered Bon Bon Cookies,$2.99,/3.52 Oz,3 cookies(30g),170.0,10 g,7 g,0 g,less than 5 mg,30 mg,16 g,1 g,13 g,12 g Added Sugars,1 g,0.0 mcg,10 mg,1.1 mg,140 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double Cream Brie,$4.49,/8 Oz,1 oz(28g/about 1 inch cube),110.0,10 g,6 g,0 g,25 mg,200 mg,0 g,0 g,0 g,0 g Added Sugars,5 g,0.0 mcg,130 mg,0.0 mg,30 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whipped Feta Spread,$3.99,/8 Oz,2 Tbsp.(28g),70.0,6 g,3.0 g,0 g,15 mg,170 mg,1 g,0 g,0 g,0 g Added Sugars,4 g,0.0 mcg,50 mg,0.0 mg,40 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artichoke Bottoms,$2.99,/14 Oz,2 pieces(110g),40.0,0 g,0 g,0 g,0 mg,50 mg,9 g,4 g,0 g,0 g Added Sugars,3 g,0.0 mcg,20 mg,0.6 mg,270 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portuguese Donuts,$3.99,/7.76 Oz,1 donut(55g),210.0,10 g,2.5 g,0 g,10 mg,150 mg,28 g,2 g,11 g,11 g Added Sugars,4 g,0.0 mcg,170 mg,3.2 mg,110 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweet Ripe Plantains,$2.49,/16 Oz,3 pieces(78g),130.0,2.0 g,0 g,0 g,0 mg,0 mg,28 g,2 g,18 g,0 g Added Sugars,1 g,0.0 mcg,0 mg,0.0 mg,370 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kramer Farms Cage Free Hard-Boiled Eggs,$2.99,/9.3 Oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar Cookie Dough Hearts,$3.99,/10.8 Oz,1 cookie(26g),110.0,5 g,2.5 g,0 g,20 mg,60 mg,15 g,0 g,8 g,8 g Added Sugars,1 g,0.0 mcg,20 mg,0.6 mg,20 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miso Ginger Broth,$2.49,/32 Fl Oz,1 cup(240 mL),10.0,0 g,0 g,0 g,0 mg,590 mg,1 g,0 g,0 g,0 g Added Sugars,1 g,0.0 mcg,10 mg,0.2 mg,60 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maître Pierre Tarte d' Alsace,$5.49,/8 Oz,1/3 Tarte(76g),190.0,11g,6g,0g,40mg,400mg,17g,0g,1g,0g Added Sugars,7g,0mcg,97mg,1mg,64mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Shu Mai,$3.99,/11 Oz,6 pieces with 1 Tbsp. sauce(104g),390.0,10 g,2.0 g,0 g,115 mg,2270 mg,49 g,3 g,17 g,,33 g,0.1 mcg,50 mg,3.1 mg,570 mg,,,,13 g Added Sugars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Pizza Dough,$1.49,/16 Oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugared Rice Cracker Hearts,$1.99,/6 Oz,3/4 cup(28g),110.0,0 g,0 g,0 g,0 mg,80 mg,25 g,0 g,6 g,6 g Added Sugars,2 g,0.0 mcg,0 mg,0.2 mg,10 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolate & Peanut Butter Lover's Nut Mix,$5.49,/12 Oz,1/4 cup(30g),160.0,11 g,2.5 g,0 g,0 mg,160 mg,13 g,2 g,5 g,4 g Added Sugars,4 g,0.1 mcg,30 mg,1.4 mg,130 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honey Roasted Macadamia Nuts & Cashews,$4.99,/8 Oz,1/4 cup(30g),180.0,13 g,2.0 g,0 g,0 mg,60 mg,11 g,3 g,2 g,2 g Added Sugars,4 g,0.0 mcg,20 mg,1.3 mg,150 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elevated Nut Mix,$5.99,/9 Oz,1/4 cup(30g),180.0,15 g,2.0 g,0 g,0 mg,40 mg,10 g,5 g,1 g,0 g Added Sugars,4 g,0.0 mcg,30 mg,1.2 mg,170 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vegetable Dumplings,$3.99,/10.58 Oz,3 dumplings(75g),120.0,3.0 g,0.5 g,0 g,0 mg,220 mg,22 g,1 g,2 g,,less than 1 g,0.1 mcg,20 mg,0.5 mg,80 mg,,,,1 g Added Sugars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teriyaki Mushroom Mini Bao Buns,$4.79,/9.52 Oz,3 Bao buns(90g),190.0,4.5 g,3.0 g,0 g,0 mg,380 mg,34 g,1 g,8 g,6 g Added Sugars,5 g,0.0 mcg,60 mg,0.8 mg,160 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark Chocolate Covered Caramels,$5.49,/10 Oz,2 pieces(24g),90.0,4.5 g,3.0 g,0 g,5 mg,55 mg,13 g,less than 1g,12 g,7 g Added Sugars,less than 1g,0.0 mcg,20 mg,0.8 mg,50 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sprinkle Cake Bites,$3.99,/8.47 Oz,1 piece(30g),120.0,4.0 g,1.5 g,0 g,0 mg,65 mg,20 g,0 g,13 g,13 g Added Sugars,less than 1g,0.0 mcg,0 mg,0.1 mg,10 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef New York Strip Steak,$13.99,/1 Lb,4 oz(112g),260.0,18g,7g,1g,90mg,60mg,0g,0g,,,23g,,,,350mg,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef Filet Mignon Steak,$20.99,/1 Lb,4 oz(112g),280.0,21g,9g,0g,100mg,60mg,0g,0g,,,22g,,,,340mg,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
